SerSen;Usu;Prop;Tarifa
102I;Adulto;0.717549325;500
102I;Adulto Mayor;0.055036345;500
102I;Estudiante;0.22741433;170
103I;Adulto;0.717549325;440
103I;Adulto Mayor;0.055036345;440
103I;Estudiante;0.22741433;150
104I;Adulto;0.717549325;440
104I;Adulto Mayor;0.055036345;440
104I;Estudiante;0.22741433;150
107I;Adulto;0.717549325;440
107I;Adulto Mayor;0.055036345;440
107I;Estudiante;0.22741433;150
108I;Adulto;0.717549325;440
108I;Adulto Mayor;0.055036345;440
108I;Estudiante;0.22741433;150
109I;Adulto;0.717549325;440
109I;Adulto Mayor;0.055036345;440
109I;Estudiante;0.22741433;150
110I;Adulto;0.717549325;440
110I;Adulto Mayor;0.055036345;440
110I;Estudiante;0.22741433;150
111I;Adulto;0.717549325;440
111I;Adulto Mayor;0.055036345;440
111I;Estudiante;0.22741433;150
112I;Adulto;0.717549325;440
112I;Adulto Mayor;0.055036345;440
112I;Estudiante;0.22741433;150
114I;Adulto;0.717549325;440
114I;Adulto Mayor;0.055036345;440
114I;Estudiante;0.22741433;150
119I;Adulto;0.717549325;440
119I;Adulto Mayor;0.055036345;440
119I;Estudiante;0.22741433;150
121I;Adulto;0.717549325;440
121I;Adulto Mayor;0.055036345;440
121I;Estudiante;0.22741433;150
129I;Adulto;0.717549325;440
129I;Adulto Mayor;0.055036345;440
129I;Estudiante;0.22741433;150
241I;Adulto;0.717549325;440
241I;Adulto Mayor;0.055036345;440
241I;Estudiante;0.22741433;150
102R;Adulto;0.717549325;500
102R;Adulto Mayor;0.055036345;500
102R;Estudiante;0.22741433;170
103R;Adulto;0.717549325;440
103R;Adulto Mayor;0.055036345;440
103R;Estudiante;0.22741433;150
104R;Adulto;0.717549325;440
104R;Adulto Mayor;0.055036345;440
104R;Estudiante;0.22741433;150
107R;Adulto;0.717549325;440
107R;Adulto Mayor;0.055036345;440
107R;Estudiante;0.22741433;150
108R;Adulto;0.717549325;440
108R;Adulto Mayor;0.055036345;440
108R;Estudiante;0.22741433;150
109R;Adulto;0.717549325;440
109R;Adulto Mayor;0.055036345;440
109R;Estudiante;0.22741433;150
110R;Adulto;0.717549325;440
110R;Adulto Mayor;0.055036345;440
110R;Estudiante;0.22741433;150
111R;Adulto;0.717549325;440
111R;Adulto Mayor;0.055036345;440
111R;Estudiante;0.22741433;150
112R;Adulto;0.717549325;440
112R;Adulto Mayor;0.055036345;440
112R;Estudiante;0.22741433;150
114R;Adulto;0.717549325;440
114R;Adulto Mayor;0.055036345;440
114R;Estudiante;0.22741433;150
119R;Adulto;0.717549325;440
119R;Adulto Mayor;0.055036345;440
119R;Estudiante;0.22741433;150
121R;Adulto;0.717549325;440
121R;Adulto Mayor;0.055036345;440
121R;Estudiante;0.22741433;150
129R;Adulto;0.717549325;440
129R;Adulto Mayor;0.055036345;440
129R;Estudiante;0.22741433;150
241R;Adulto;0.717549325;440
241R;Adulto Mayor;0.055036345;440
241R;Estudiante;0.22741433;150
E01I;Adulto;0.717549325;440
E01I;Adulto Mayor;0.055036345;440
E01I;Estudiante;0.22741433;150
E02R;Adulto;0.717549325;440
E02R;Adulto Mayor;0.055036345;440
E02R;Estudiante;0.22741433;150
