ID;Ruta;Sentido;interv;Tarifa
1021;102;ida;4.6;500
1022;102;regreso;6.6;500
3022;102;regreso;15.4;500
1031;103;ida;7.1;440
3031;103;ida v1;16.7;440
1032;103;regreso;7.1;440
3032;103;regreso;16.7;440
1041;104;ida;2.7;440
1042;104;regreso;2.7;440
1071;107;ida;6;440
1072;107;regreso;6;440
1081;108;ida;14.3;440
3081;108;ida v1;33.3;440
1082;108;regreso;14.3;440
3082;108;regreso;33.3;440
1091;109;ida;7.8;440
3091;109;ida v1;18.2;440
1092;109;regreso;7.8;440
3092;109;regreso;18.2;440
1101;110;ida;4;440
1102;110;regreso;4;440
1111;111;ida;4;440
1112;111;regreso;5.7;440
3112;111;regreso;13.3;440
1121;112;ida;2.5;440
1122;112;regreso;2.5;440
1141;114;ida;4.3;440
1142;114;regreso;4.3;440
1191;119;ida;14.3;440
3191;119;ida v1;33.3;440
3192;119;regreso;14.3;440
1192;119;rregres;33.3;440
1211;121;ida;3.6;440
3211;121;ida;8.3;440
1212;121;regreso;3.6;440
3212;121;regreso;8.3;440
1291;129;ida;2.1;440
1292;129;regreso;2.1;440
2411;241;ida;5.2;440
2412;241;regreso;5.2;440
