Linea;NodoA;NodoB;TIEMPO;DISTANCIA;FLUJO_LIN;FLUJO_TOT;TASA_USO;SUBEN_NA;SUBEN_NB;BAJAN_NA;BAJAN_NB
   1022 102 regreso ;69003;69001;  3.3;  2.4;     0;     0;  0.0;  0.0;  6.2;  0.0;  0.0
   1022 102 regreso ;69001;68009;  1.8;  0.6;     6;   171;  0.0;  6.2;  0.0;  0.0;  0.0
   1022 102 regreso ;68009;68008;  1.0;  0.4;     6;   171;  0.0;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;68008;68011;  0.4;  0.3;     6;   171;  0.0;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;68011;68007;  0.1;  0.1;     6;   171;  0.0;  0.0;  9.9;  0.0;  0.0
   1022 102 regreso ;68007;67001;  0.9;  0.5;    16;   484;  0.1;  9.9;  0.5;  0.0;  0.0
   1022 102 regreso ;67001;66016;  0.7;  0.5;    17;   478;  0.1;  0.5;  2.4;  0.0;  0.0
   1022 102 regreso ;66016;66015;  1.0;  0.8;    19;   499;  0.1;  2.4;  0.0;  0.0;  0.0
   1022 102 regreso ;66015;66011;  1.1;  0.8;    19;   499;  0.1;  0.0;  7.7;  0.0;  0.0
   1022 102 regreso ;66011;66007;  0.2;  0.1;    27;   715;  0.1;  7.7;  0.0;  0.0;  0.0
   1022 102 regreso ;66007;66008;  0.1;  0.1;    27;   264;  0.1;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;66008;66009;  0.2;  0.0;    27;   264;  0.1;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;66009;66010;  0.7;  0.2;    27;   264;  0.1;  0.0; 40.1;  0.0;  0.0
   1022 102 regreso ;66010;66006;  0.5;  0.2;    67;   653;  0.3; 40.1;  0.0;  0.0;  0.0
   1022 102 regreso ;66006;66003;  0.5;  0.2;    67;   653;  0.3;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;66003;60012;  0.7;  0.2;    67;  1114;  0.3;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;60012;60007;  0.4;  0.2;    67;  1114;  0.3;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;60007;60006;  0.1;  0.1;    67;  1114;  0.3;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;60006;60005;  0.3;  0.2;    67;  1114;  0.3;  0.0; 11.7;  0.0;  0.0
   1022 102 regreso ;60005;60004;  0.4;  0.3;    79;  1931;  0.3; 11.7;  0.0;  0.0;  0.0
   1022 102 regreso ;60004;61001;  0.4;  0.2;    79;  1931;  0.3;  0.0;  5.8;  0.0;  0.0
   1022 102 regreso ;61001;60002;  0.2;  0.1;    84;  2216;  0.3;  5.8;  3.4;  0.0;  0.0
   1022 102 regreso ;60002;58005;  0.2;  0.1;    88;  1652;  0.3;  3.4;  0.0;  0.0;  0.0
   1022 102 regreso ;58005;58004;  0.3;  0.2;    88;  1652;  0.3;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;58004;58002;  0.4;  0.2;    88;  1652;  0.3;  0.0;  1.2;  0.0;  0.0
   1022 102 regreso ;58002;58007;  0.5;  0.3;    89;   442;  0.3;  1.2;  0.0;  0.0;  0.0
   1022 102 regreso ;58007;59005;  0.2;  0.1;    89;   442;  0.3;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;59005;59003;  0.2;  0.1;    89;  1430;  0.3;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;59003;59001;  0.2;  0.1;    89;  1430;  0.3;  0.0;  9.4;  0.0;  0.0
   1022 102 regreso ;59001;57023;  0.4;  0.2;    98;  1695;  0.4;  9.4;  0.0;  0.0;  0.0
   1022 102 regreso ;57023;56014;  0.3;  0.1;    98;  1204;  0.4;  0.0;  6.1;  0.0;  0.0
   1022 102 regreso ;56014;56020;  0.2;  0.1;   104;  1767;  0.4;  6.1;  3.3;  0.0;  0.0
   1022 102 regreso ;56020;56008;  0.2;  0.1;   108;  1767;  0.4;  3.3;  0.0;  0.0;  0.0
   1022 102 regreso ;56008;56007;  0.2;  0.1;   108;  1767;  0.4;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;56007;56005;  0.4;  0.1;   108;  1767;  0.4;  0.0;  0.0;  0.0;  0.0
   1022 102 regreso ;56005;57007;  0.6;  0.2;   108;  1768;  0.4;  0.0; 15.1;  0.0; 16.9
   1022 102 regreso ;57007;52006;  0.1;  0.0;   106;  1721;  0.4; 15.1;  2.7; 16.9;  0.0
   1022 102 regreso ;52006;52003;  0.4;  0.1;   109;  1788;  0.4;  2.7;  0.3;  0.0;  3.4
   1022 102 regreso ;52003;52002;  0.5;  0.2;   106;  2270;  0.4;  0.3;  9.4;  3.4;  0.0
   1022 102 regreso ;52002;52001;  0.3;  0.1;   115;  2509;  0.5;  9.4;  0.0;  0.0;  0.0
